player_id,position,position2
1,1,NA
2,2,1
3,1,NA
4,2,1
5,5,NA
6,5,4
7,5,NA
8,4,NA
9,2,NA
10,4,NA
11,4,NA
12,5,NA
13,5,NA
14,2,NA
15,1,NA
16,1,2
17,1,NA
18,1,NA
19,2,NA
20,2,1
21,4,NA
22,4,NA
23,4,5
24,4,3
25,2,NA
26,5,NA
27,2,1
28,4,3
29,1,NA
30,3,2
31,3,NA
32,4,NA
33,3,NA
34,3,4
35,1,2
36,5,4
37,4,NA
38,3,NA
39,4,NA
40,5,NA
41,1,NA
42,1,2
43,1,2
44,3,2
45,5,4
46,1,NA
47,3,NA
48,3,4
49,1,NA
50,4,NA
51,4,5
52,3,NA
53,3,NA
54,4,NA
55,2,1
56,2,3
57,5,4
58,4,NA
59,4,NA
60,1,2
61,4,NA
62,2,NA
63,4,NA
64,3,NA
65,3,2
66,2,3
67,2,3
68,1,NA
69,2,3
70,1,NA
71,4,NA
72,1,NA
73,4,NA
74,3,NA
75,3,2
76,2,NA
77,5,4
78,2,3
79,1,NA
80,4,NA
81,4,NA
82,3,2
83,5,NA
84,2,NA
85,5,4
86,3,NA
87,2,3
88,1,NA
89,2,NA
90,2,NA
91,5,4
92,4,5
93,1,NA
94,1,NA
95,3,4
96,1,NA
97,4,NA
98,2,1
99,2,3
100,4,3
101,2,NA
102,2,NA
103,4,5
104,1,NA
105,4,5
106,2,1
107,2,NA
108,5,NA
109,3,4
110,3,NA
111,2,3
112,2,NA
113,5,4
114,3,NA
115,4,NA
116,4,NA
117,2,NA
118,4,NA
119,2,NA
120,4,5
121,5,NA
122,3,4
123,3,NA
124,3,2
125,3,4
126,3,NA
127,5,NA
128,2,3
129,2,1
130,5,NA
131,5,NA
132,3,2
133,4,3
134,3,NA
135,5,NA
136,4,NA
137,2,NA
138,4,NA
139,4,NA
140,2,1
141,4,5
142,5,4
143,3,NA
144,3,2
145,5,NA
146,2,3
147,4,5
148,3,NA
149,5,4
150,2,NA
151,3,2
152,1,NA
153,4,NA
154,4,NA
155,4,NA
156,1,NA
157,2,NA
158,2,NA
159,2,NA
160,4,3
161,1,NA
162,5,NA
163,2,3
164,5,NA
165,3,2
166,2,NA
167,3,4
168,1,NA
169,4,NA
170,5,4
171,1,NA
172,5,NA
173,3,NA
174,3,2
175,2,1
176,1,2
177,2,3
178,1,2
179,5,4
180,3,4
181,2,NA
182,2,1
183,3,NA
184,1,NA
185,3,2
186,1,NA
187,3,2
188,3,NA
189,3,NA
190,3,NA
191,5,4
192,2,NA
193,5,NA
194,3,2
195,1,NA
196,1,NA
197,4,NA
198,1,NA
199,4,NA
200,5,4
201,2,1
202,1,NA
203,4,NA
204,5,NA
205,2,NA
206,1,NA
207,3,NA
208,4,3
209,4,NA
210,1,2
211,2,3
212,3,NA
213,1,NA
214,2,NA
215,5,NA
216,1,NA
217,1,NA
218,1,NA
219,4,5
220,5,NA
221,5,NA
222,3,NA
223,1,NA
224,4,3
225,4,NA
226,2,NA
227,4,5
228,3,4
229,1,2
230,5,NA
231,2,NA
232,1,NA
233,2,1
234,1,2
235,3,NA
236,4,5
237,3,4
238,2,NA
239,5,NA
240,4,NA
241,4,NA
242,3,4
243,5,NA
244,4,NA
245,4,5
246,4,NA
247,2,3
248,2,NA
249,4,NA
250,1,NA
251,3,2
252,4,5
253,3,NA
254,1,NA
255,3,4
256,1,2
257,2,NA
258,4,NA
259,4,NA
260,4,NA
261,3,NA
262,1,NA
263,3,2
264,1,NA
265,2,3
266,1,2
267,2,NA
268,4,3
269,1,NA
270,2,1
271,1,NA
272,2,1
273,5,NA
274,4,3
275,5,NA
276,2,1
277,4,NA
278,4,5
279,4,NA
280,5,4
281,5,NA
282,4,3
283,4,NA
284,2,NA
285,1,NA
286,3,NA
287,2,1
288,1,NA
289,4,NA
290,1,NA
291,1,NA
292,4,NA
293,2,NA
294,1,NA
295,5,NA
296,1,NA
297,3,4
298,5,NA
299,4,NA
300,5,4
301,3,NA
302,3,NA
303,4,5
304,4,5
305,2,NA
306,1,NA
307,1,NA
308,3,2
309,1,NA
310,5,NA
311,4,5
312,1,2
313,4,NA
314,2,NA
315,4,5
316,2,NA
317,5,4
318,1,NA
319,4,5
320,3,NA
321,5,4
322,5,4
323,4,NA
324,4,NA
325,3,2
326,1,NA
327,5,NA
328,2,1
329,4,NA
330,3,2
331,2,NA
332,2,3
333,3,2
334,1,NA
335,3,NA
336,5,4
337,1,NA
338,5,NA
339,4,NA
340,1,2
341,5,4
342,3,2
343,5,NA
344,3,4
345,5,4
346,4,NA
347,5,NA
348,1,NA
349,2,3
350,2,NA
351,3,NA
352,1,NA
353,1,NA
354,4,5
355,2,NA
356,2,NA
357,4,5
358,1,NA
359,5,NA
360,2,NA
361,1,NA
362,2,NA
363,5,NA
364,3,NA
365,3,NA
366,1,NA
367,4,NA
368,5,NA
369,3,2
370,5,NA
371,4,NA
372,2,1
373,2,NA
374,5,NA
375,5,NA
376,1,NA
377,2,3
378,3,4
379,3,2
380,4,5
381,4,3
382,5,NA
383,4,NA
384,4,3
385,5,4
386,4,NA
387,1,NA
388,5,4
389,5,NA
390,1,NA
391,1,2
392,2,NA
393,2,NA
394,1,NA
395,1,NA
396,1,2
397,4,NA
398,1,NA
399,2,1
400,4,NA
401,2,NA
402,2,NA
403,2,1
404,3,2
405,1,NA
406,3,NA
407,1,NA
408,1,NA
409,4,NA
410,4,3
411,3,NA
412,3,NA
413,1,2
414,4,3
415,4,NA
416,5,NA
417,2,NA
418,2,3
419,3,2
420,5,4
421,3,NA
422,2,3
423,1,2
424,2,3
425,1,2
426,3,2
427,3,NA
428,2,NA
429,4,NA
430,5,NA
431,1,NA
432,2,3
433,2,NA
434,1,NA
435,1,NA
436,1,2
437,2,NA
438,2,1
439,4,NA
440,4,5
441,4,NA
442,1,NA
443,1,NA
444,2,NA
445,4,NA
446,1,NA
447,4,NA
448,2,NA
449,3,NA
450,1,2
451,3,NA
452,1,2
453,2,3
454,4,NA
455,5,NA
456,4,NA
457,2,3
458,1,NA
459,2,1
460,3,4
461,5,NA
462,1,NA
463,4,NA
464,2,NA
465,5,NA
466,3,NA
467,2,NA
468,1,NA
469,4,5
470,3,4
471,3,4
472,3,NA
473,1,NA
474,1,NA
475,3,4
476,2,1
477,3,NA
478,4,5
479,4,NA
480,4,3
481,1,NA
482,4,3
483,5,NA
484,1,NA
485,1,NA
486,1,NA
487,1,2
488,2,3
489,3,NA
490,4,NA
491,5,4
492,5,NA
493,5,4
494,3,2
495,5,NA
496,1,NA
497,3,4
498,5,NA
499,5,NA
500,5,4
501,1,NA
502,4,NA
503,5,NA
504,2,NA
505,5,NA
506,3,NA
507,5,NA
508,4,NA
509,3,2
510,1,2
511,3,NA
512,1,2
513,4,NA
514,4,3
515,4,3
516,4,NA
517,5,NA
518,2,3
519,4,5
520,1,2
521,3,NA
522,1,NA
523,3,2
524,4,NA
525,3,2
526,3,2
527,4,3
528,5,4
529,2,3
530,2,NA
531,4,3
532,4,3
533,5,4
534,1,2
535,4,NA
536,3,4
537,5,4
538,3,NA
539,1,NA
540,4,5
541,2,1
542,1,2
543,5,4
544,3,NA
545,1,NA
546,3,2
547,4,5
548,3,4
549,1,NA
550,2,3
551,2,1
552,1,2
553,1,NA
554,1,2
555,2,NA
556,1,NA
557,5,NA
558,4,NA
559,2,NA
560,2,NA
561,3,NA
562,5,4
563,2,NA
564,4,3
565,2,3
566,2,3
567,5,4
568,1,NA
569,2,NA
570,2,1
571,1,NA
572,2,NA
573,1,NA
574,3,4
575,3,2
576,2,NA
577,3,NA
578,4,NA
579,5,NA
580,5,4
581,4,5
582,4,NA
583,5,NA
584,1,NA
585,4,5
586,2,3
587,4,NA
588,4,5
589,2,NA
590,3,2
591,2,NA
592,1,NA
593,1,NA
594,3,NA
595,1,NA
596,2,NA
597,1,2
598,3,1
599,4,5
600,3,NA
601,2,3
602,3,2
603,3,NA
604,3,NA
605,1,2
606,5,4
607,2,1
608,2,3
609,2,NA
610,2,1
611,4,NA
612,4,5
613,3,NA
614,1,2
615,4,NA
616,4,3
617,2,NA
618,4,3
619,4,3
620,2,3
621,2,3
622,4,5
623,2,NA
624,5,NA
625,5,NA
626,1,NA
627,4,5
628,2,NA
629,1,2
630,4,3
631,2,1
632,4,NA
633,4,5
634,1,NA
635,2,NA
636,4,3
637,3,NA
638,2,NA
639,3,4
640,2,3
641,4,3
642,4,3
643,1,NA
644,4,3
645,2,1
646,2,NA
647,2,NA
648,4,3
649,2,NA
650,2,1
651,3,NA
652,4,NA
653,1,NA
654,5,NA
655,5,NA
656,2,NA
657,3,NA
658,4,NA
659,1,NA
660,5,4
661,3,NA
662,4,NA
663,4,NA
664,1,NA
665,5,NA
666,2,NA
667,1,NA
668,3,NA
669,1,NA
670,5,NA
671,2,1
672,2,3
673,1,NA
674,1,NA
675,2,NA
676,3,NA
677,5,NA
678,4,NA
679,2,NA
680,4,NA
681,4,3
682,5,NA
683,1,NA
684,3,2
685,2,NA
686,2,NA
687,4,NA
688,2,1
689,4,NA
690,4,NA
691,2,NA
692,3,NA
693,2,NA
694,1,NA
695,2,NA
696,2,NA
697,2,3
698,2,NA
699,2,NA
700,2,1
701,2,NA
702,1,NA
703,4,NA
704,3,4
705,4,NA
706,2,NA
707,2,1
708,2,1
709,2,NA
710,2,3
711,3,NA
712,4,NA
713,1,NA
714,3,2
715,1,NA
716,4,NA
717,5,NA
718,5,NA
719,2,NA
720,3,NA
721,1,2
722,2,NA
723,2,NA
724,3,NA
725,5,4
726,3,NA
727,3,4
728,2,1
729,5,4
730,5,4
731,4,3
732,4,NA
733,2,NA
734,3,2
735,3,2
736,1,NA
737,5,NA
738,3,1
739,2,NA
740,2,NA
741,1,2
742,4,5
743,1,NA
744,5,4
745,3,NA
746,2,NA
747,4,2
748,2,NA
749,2,3
750,3,NA
751,5,NA
752,2,1
753,1,2
754,2,1
755,4,NA
756,5,3
757,4,NA
758,4,NA
759,2,3
760,1,NA
761,2,3
762,2,NA
763,1,NA
764,4,NA
765,1,2
766,4,NA
767,2,NA
768,4,NA
769,1,NA
770,3,4
771,5,NA
772,2,NA
773,4,3
774,3,2
775,2,NA
776,2,3
777,4,NA
778,2,3
779,2,3
780,3,2
781,3,2
782,4,NA
783,1,NA
784,3,4
785,4,3
786,5,4
787,3,2
788,5,4
789,5,NA
790,1,NA
791,4,NA
792,5,NA
793,2,NA
794,1,NA
795,5,NA
796,1,NA
797,3,NA
798,4,3
799,1,NA
800,3,2
801,3,4
802,2,NA
803,5,4
804,5,NA
805,3,4
806,4,3
807,3,2
808,2,3
809,4,NA
810,5,4
811,2,NA
812,2,NA
813,2,NA
814,1,NA
815,4,1
816,1,NA
817,3,NA
818,4,NA
819,5,NA
820,2,NA
821,2,1
822,1,NA
823,5,NA
824,5,4
825,5,NA
826,5,NA
827,2,3
828,4,3
829,2,1
830,3,4
831,1,NA
832,3,4
833,4,5
834,5,4
835,5,4
836,2,NA
837,5,NA
838,4,3
839,3,NA
840,5,NA
841,3,NA
842,2,NA
843,4,3
844,1,NA
845,1,NA
846,2,1
847,2,NA
848,4,5
849,5,NA
850,2,NA
851,4,3
852,3,4
853,2,NA
854,2,NA
855,4,NA
856,5,4
857,2,NA
858,4,NA
859,5,NA
860,2,NA
861,2,1
862,5,NA
863,4,3
864,1,2
865,2,3
866,4,5
867,4,5
868,2,3
869,2,1
870,5,NA
871,1,NA
872,4,NA
873,5,NA
874,4,NA
875,1,NA
876,5,NA
877,2,NA
878,3,2
879,2,3
880,4,NA
881,4,NA
882,1,2
883,4,NA
884,3,4
885,5,NA
886,5,NA
887,3,2
888,4,NA
889,5,NA
890,2,NA
891,3,NA
892,1,2
893,4,5
894,2,NA
895,3,2
896,2,NA
897,3,4
898,2,1
899,2,NA
900,5,4
901,1,NA
902,2,NA
903,5,NA
904,2,NA
905,4,NA
906,1,2
907,5,NA
908,1,NA
909,3,4
910,2,NA
911,3,2
912,5,4
913,4,5
914,1,NA
915,5,4
916,5,NA
917,5,NA
918,2,NA
919,4,NA
920,4,NA
921,2,NA
922,4,5
923,4,NA
924,2,3
925,1,NA
926,4,3
927,1,NA
928,1,2
929,5,4
930,2,3
931,1,NA
932,2,NA
933,1,NA
934,4,3
935,5,4
936,2,3
937,3,4
938,4,NA
939,4,1
940,2,NA
941,4,NA
942,2,1
943,3,NA
944,4,3
945,2,NA
946,5,NA
947,1,2
948,2,NA
949,2,1
950,4,NA
951,4,NA
952,4,3
953,2,3
954,3,4
955,3,2
956,2,1
957,2,3
958,1,2
959,3,4
960,1,NA
961,2,NA
962,4,NA
963,4,NA
964,4,5
965,1,NA
966,5,NA
967,1,NA
968,1,2
969,2,3
970,3,4
971,5,NA
972,4,NA
973,4,NA
974,2,NA
975,2,1
976,3,NA
977,4,3
978,5,NA
979,3,2
980,4,NA
981,4,NA
982,3,2
983,1,NA
984,5,4
985,2,NA
986,2,NA
987,5,4
988,3,4
989,4,NA
990,2,3
991,1,NA
992,5,NA
993,3,NA
994,1,NA
995,1,NA
996,1,NA
997,5,4
998,5,NA
999,5,NA
1000,4,NA
1001,2,1
1002,2,3
1003,2,NA
1004,4,5
1005,5,NA
1006,2,NA
1007,4,NA
1008,4,NA
1009,4,NA
1010,2,1
1011,2,NA
1012,2,3
1013,2,NA
1014,3,2
1015,4,5
1016,4,NA
1017,4,NA
1018,2,NA
1019,1,NA
1020,1,NA
1021,5,4
1022,3,4
1023,4,NA
1024,3,NA
1025,4,5
1026,4,NA
1027,3,NA
1028,5,NA
1029,1,NA
1030,1,NA
1031,1,NA
1032,3,NA
1033,4,NA
1034,4,NA
1035,1,NA
1036,2,NA
1037,4,NA
1038,4,NA
1039,2,NA
1040,5,NA
1041,4,NA
1042,3,NA
1043,1,NA
1044,2,NA
1045,4,NA
1046,4,NA
1047,1,NA
1048,5,NA
1049,4,NA
1050,5,NA
1051,1,NA
1052,4,NA
1053,5,NA
1054,2,NA
1055,5,NA
1056,3,NA
1057,2,NA
1058,3,NA
1059,1,NA
1060,4,NA
1061,5,4
1062,1,NA
1063,4,NA
1064,5,4
1065,3,NA
1066,3,NA
1067,4,NA
1068,3,NA
1069,5,NA
1070,3,NA
1071,2,NA
1072,4,NA
1073,4,5
1074,1,NA
1075,5,NA
1076,4,3
1077,4,NA
1078,2,NA
1079,4,3
1080,3,4
1081,5,NA
1082,2,1
1083,2,NA
1084,1,2
1085,4,NA
1086,5,NA
1087,3,2
1088,1,NA
1089,2,NA
1090,3,NA
1091,5,NA
1092,4,5
1093,2,NA
1094,5,NA
1095,5,NA
1096,2,3
1097,1,NA
1098,5,NA
1099,2,NA
1100,4,5
1101,1,NA
1102,4,5
1103,2,NA
1104,2,NA
1105,1,2
1106,1,NA
1107,4,5
1108,4,NA
1109,2,NA
1110,4,5
1111,1,2
1112,2,3
1113,NA,NA
1114,2,NA
1115,3,4
1116,4,NA
1117,4,NA
1118,1,2
1119,3,NA
1120,3,4
1121,3,4
1122,4,3
1123,3,NA
1124,2,NA
1125,1,NA
1126,2,1
1127,3,NA
1128,1,NA
1129,1,NA
1130,3,NA
1131,3,NA
1132,4,5
1133,5,NA
1134,1,NA
1135,3,4
1136,1,2
1137,2,3
1138,4,3
1139,4,NA
1140,3,4
1141,1,2
1142,4,5
1143,3,NA
1144,2,NA
1145,4,NA
1146,5,NA
1147,4,NA
1148,4,NA
1149,1,NA
1150,3,2
1151,4,NA
1152,2,1
1153,5,4
1154,5,4
1155,1,2
1156,3,2
1157,3,2
1158,4,NA
1159,3,NA
1160,2,1
1161,5,NA
1162,2,NA
1163,4,NA
1164,4,NA
1165,1,2
1166,1,2
1167,2,NA
1168,5,NA
1169,1,2
1170,1,NA
1171,1,NA
1172,4,5
1173,3,4
1174,1,NA
1175,4,NA
1176,2,1
1177,2,NA
1178,5,NA
1179,1,NA
1180,2,1
1181,1,NA
1182,3,4
1183,1,NA
1184,1,NA
1185,3,4
1186,5,NA
1187,3,NA
1188,5,4
1189,5,NA
1190,2,NA
1191,5,NA
1192,1,2
1193,2,1
1194,1,NA
1195,5,NA
1196,5,NA
1197,5,NA
1198,4,3
1199,4,NA
1200,3,4
1201,4,5
1202,1,NA
1203,2,NA
1204,3,NA
1205,1,NA
1206,2,NA
1207,1,2
1208,4,NA
1209,3,4
1210,5,NA
1211,4,3
1212,2,1
1213,5,4
1214,2,1
1215,4,2
1216,5,NA
1217,2,NA
1218,3,NA
1219,2,NA
1220,3,NA
1221,2,NA
1222,1,NA
1223,2,NA
1224,1,NA
1225,4,NA
1226,4,3
1227,2,NA
1228,5,NA
1229,1,2
1230,3,NA
1231,4,NA
1232,3,2
1233,2,NA
1234,2,1
1235,5,NA
1236,5,NA
1237,1,NA
1238,4,NA
1239,2,NA
1240,1,NA
1241,2,NA
1242,5,NA
1243,4,NA
1244,1,NA
1245,1,NA
1246,2,NA
1247,2,NA
1248,2,NA
1249,1,NA
1250,2,NA
1251,4,NA
1252,2,NA
1253,4,NA
1254,5,NA
1255,2,1
1256,2,NA
1257,2,1
1258,5,NA
1259,5,NA
1260,4,NA
1261,5,NA
1262,1,NA
1263,2,3
1264,5,NA
1265,3,4
1266,2,3
1267,1,NA
1268,1,2
1269,3,2
1270,1,NA
1271,3,2
1272,3,4
1273,4,3
1274,5,NA
1275,1,NA
1276,1,NA
1277,2,1
1278,5,4
1279,3,NA
1280,3,NA
1281,2,3
1282,2,NA
1283,4,5
1284,4,3
1285,1,NA
1286,4,NA
1287,1,NA
1288,3,NA
1289,1,NA
1290,1,NA
1291,2,1
1292,4,NA
1293,4,NA
1294,2,3
1295,1,NA
1296,2,1
1297,4,5
1298,4,NA
1299,4,5
1300,3,1
1301,1,2
1302,4,NA
1303,5,NA
1304,2,NA
1305,4,NA
1306,3,4
1307,2,NA
1308,2,NA
1309,5,NA
1310,4,NA
1311,1,2
1312,1,NA
1313,2,1
1314,5,NA
1315,3,NA
1316,5,NA
1317,2,NA
1318,1,NA
1319,3,NA
1320,1,NA
1321,4,NA
1322,4,NA
1323,4,NA
1324,2,NA
1325,3,NA
1326,2,NA
1327,3,NA
1328,4,NA
1329,1,NA
1330,1,NA
1331,5,NA
1332,4,NA
1333,3,NA
1334,1,NA
1335,4,NA
1336,2,NA
1337,5,NA
1338,3,NA
1339,1,NA
1340,3,NA
1341,1,NA
1342,NA,NA
1343,1,NA
1344,1,NA
1345,1,NA
1346,1,NA
1347,2,NA
1348,2,NA
1349,4,NA
1350,4,NA
1351,5,NA
1352,3,NA
1353,5,NA
1354,3,NA
1355,2,NA
1356,3,NA
1357,5,NA
1358,1,NA
1359,1,NA
1360,1,NA
1361,2,NA
1362,2,NA
1363,4,NA
1364,3,NA
1365,4,NA
1366,3,NA
1367,1,NA
1368,2,NA
1369,1,NA
1370,4,NA
1371,5,NA
1372,4,NA
1373,1,NA
1374,5,NA
1375,1,NA
1376,1,NA
